309,2020-07-11,H207686,Vessel,OSAKA Port,The address listed above,2020-08-15,To Fujishi Osaka Direct,
310,2020-07-11,H207687,Vessel,Nagoya Port,The address listed above,2020-08-20,To Hukla Japan/Nanno ,
311,2020-07-14,H207688,Vessel,Nagoya Port,The address listed above,2020-08-27,To Hukla Japan/Nanno ,2020-09-11
312,2020-07-14,H207689,Vessel,HAKATA Port,The address listed above,2020-08-25,To Fukuhaku Direct,2020-09-05
313,2020-07-15,H207690,Vessel,Nagoya Port,The address listed above,2020-07-23,To Hukla Japan/Nanno ,
314,2020-07-17,H207691,DHL(Courier),NAGOYA air-port,Hukla Japan Inc. / Nanno Factory,2020-07-17,For Hukla Japan/Nanno Fac.,
315,2020-07-21,H207692,Vessel,Nagoya Port,The address listed above,2020-09-03,To Hukla Japan/Nanno ,2020-09-16
316,2020-07-22,H207693,DHL(Courier),NAGOYA air-port,Hukla Japan Inc. / Nanno Factory,2020-07-22,For Hukla Japan/Nanno Fac.,
317,2020-07-23,H207694,DHL(Courier),NAGOYA air-port,Hukla Japan Inc. / Nanno Factory,2020-07-29,For Hukla Japan/Nanno Fac.,
318,2020-07-28,H207695,Vessel,Nagoya Port,The address listed above,2020-09-10,To Hukla Japan/Nanno ,2020-09-25
319,2020-08-04,H207696,Vessel,Nagoya Port,The address listed above,2020-09-17,To Hukla Japan/Nanno ,2020-10-02
320,2020-08-05,H207697,DHL(Courier),NAGOYA air-port,Hukla Japan Inc. / Nanno Factory,2020-09-02,For Hukla Japan/Nanno Fac.,
321,2020-08-06,H207698,DHL(Courier),NAGOYA air-port,Hukla Japan Inc. / Nanno Factory,2020-08-20,For Hukla Japan/Nanno Fac.,
322,2020-08-07,H207699,Vessel,Nagoya Port,The address listed above,2020-09-10,To Hukla Japan/Nanno ,2020-09-23
323,2020-08-07,H207700,Vessel,Nagoya Port,The address listed above,2020-09-17,To Hukla Japan/Nanno ,2020-10-05
324,2020-08-07,H207701,Vessel,Nagoya Port,The address listed above,2020-09-24,To Hukla Japan/Nanno ,2020-10-09
325,2020-08-17,H207702,DHL(Courier), Air-port,Hukla Japan Inc. Fukuoka Branch,2020-08-27,For Hukla Japan.,
326,2020-08-18,H207703,Vessel,HAKATA Port,The address listed above,2020-09-26,To Fukuhaku Direct,
327,2020-08-18,H207704,Vessel,MOJI Port,The address listed above,2020-09-26,To NAFCO Moji Direct,2020-10-08
328,2020-08-18,H207705,Vessel,Nagoya Port,The address listed above,2020-09-24,To Hukla Japan/Nanno ,2020-10-07
329,2020-08-20,H207706,Vessel,Nagoya Port,The address listed above,2020-09-24,To Hukla Japan/Nanno ,--
